annual_income,total_debt,credit_score,on_time_pct,credit_utilization,history_years,delinquencies,creditworthy
875745.01,168197.36,665,71.16,57.33,8.2,1,0
390822.8,111854.48,730,71.41,28.07,3.5,0,1
1144262.31,483326.57,517,63.43,53.41,8.4,0,0
1282521.77,240339.69,624,75.89,18.13,9.3,0,1
226246.16,42058.91,724,63.54,26.31,10.2,0,0
333931.88,75807.85,655,49.21,70.95,8.4,0,0
787567.41,171012.74,782,70.97,5.73,0.8,0,1
603351.03,86238.2,508,55.76,45.5,14.0,0,0
722100.28,96264.29,497,45.03,72.26,3.1,0,0
437212.07,70701.93,719,94.13,35.18,5.3,0,1
1236306.4,243702.73,727,66.42,65.24,8.4,2,0
1163188.11,105919.78,632,82.53,34.85,7.9,0,1
758894.78,152889.37,686,86.26,60.78,4.1,1,0
1434525.55,141506.58,717,91.35,29.75,5.1,0,1
965600.63,309174.06,576,69.19,59.0,5.2,1,0
435575.98,83038.96,586,88.11,39.05,2.2,0,0
910046.04,117790.04,667,95.66,29.19,3.6,0,1
410310.9,99879.06,731,93.05,51.85,13.2,0,1
1235603.63,135322.26,545,71.04,9.18,10.2,2,0
707890.33,81626.57,632,95.33,33.63,12.3,0,1
652836.88,142199.01,628,92.67,51.59,21.6,0,1
484776.03,34804.02,687,86.93,10.39,9.6,0,1
1518942.31,259410.11,649,69.46,35.68,1.7,0,0
664827.12,243274.19,600,76.79,7.01,7.9,0,1
564109.3,101216.35,762,90.41,38.03,10.4,0,1
590497.02,60522.96,601,91.59,70.46,7.8,0,1
1003882.47,156633.66,623,86.54,25.14,3.9,0,1
908242.27,384959.79,506,59.67,39.84,9.4,3,0
934381.01,237291.15,585,89.7,15.86,12.6,1,1
944577.11,447874.86,696,68.49,24.47,8.7,0,0
2636567.82,228733.64,678,44.51,17.2,13.3,3,1
571575.0,154880.23,703,69.65,13.09,7.5,0,0
536410.16,179347.76,699,65.09,77.36,7.9,0,1
447636.31,59175.35,837,80.93,43.92,5.0,1,1
1055565.98,8683.11,582,81.3,20.84,10.5,0,1
1436016.29,306199.37,504,88.82,42.96,9.0,1,0
681213.83,60572.97,555,51.65,43.51,6.9,1,0
440605.9,241710.65,586,67.73,32.17,19.3,1,0
444769.42,70690.01,562,68.0,39.34,21.2,0,0
1077717.22,452980.17,658,78.84,28.02,7.4,1,0
1139331.79,219229.83,762,56.23,12.69,16.9,0,1
1010436.08,139461.87,788,67.79,22.62,11.1,1,1
489281.94,163793.64,695,93.82,27.38,14.3,1,0
838438.74,84587.32,842,73.08,35.11,2.2,1,1
782314.01,134630.63,617,82.1,27.29,7.9,0,0
831688.42,248164.82,503,88.39,58.91,6.6,1,0
1230409.09,398375.25,744,89.64,42.44,12.4,0,1
834140.66,208690.67,484,95.54,71.75,6.5,1,0
1096186.76,226750.17,582,62.98,49.67,10.9,0,0
759600.14,319933.61,696,81.72,17.79,16.7,1,1
867587.49,193805.14,640,90.57,13.12,6.6,2,1
1065306.32,61361.37,632,74.93,24.1,4.0,0,1
304280.88,108657.39,543,90.54,41.41,11.1,1,0
602111.11,93396.97,649,94.82,27.07,9.2,1,1
550056.57,109980.72,740,91.33,16.09,4.3,0,1
497163.04,32720.91,651,89.71,39.53,9.4,0,1
618414.76,220487.65,575,81.28,12.41,10.6,0,0
1788637.63,292564.65,537,72.66,50.13,13.8,0,0
433870.48,201967.62,577,55.4,23.16,2.3,0,0
1304026.07,93736.83,685,75.19,23.95,6.7,0,1
265741.19,83556.07,680,73.32,66.42,5.9,1,0
596639.87,187376.33,577,82.82,12.12,6.1,0,1
804239.06,189109.7,451,81.08,30.27,12.5,2,0
1036886.88,65809.35,687,68.42,29.61,7.4,0,0
